06/10/16 10:29:22:517 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | Updater has never been run on the machine.
06/10/16 10:29:22:517 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | StartupUtility : Window is NOT Elapsed.
06/10/16 10:29:22:517 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : inside initialize.
06/10/16 10:29:22:539 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
06/10/16 10:29:22:544 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
06/10/16 10:29:23:544 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
06/10/16 10:29:23:544 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
06/10/16 10:29:23:584 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
06/10/16 10:29:23:584 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : inside finalize.
06/10/16 10:29:23:584 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2412 | AdobeUpdaterGoCartLauncher : unloaded goCart library
06/10/16 13:02:17:577 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | >>> Adobe Updater Log Begin >>>
06/10/16 13:02:17:577 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | Application Version: 9.0.0.27
06/10/16 13:02:17:577 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamul.log
06/10/16 13:02:17:577 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | cmdline option: -logLevel = 2
06/10/16 13:02:17:577 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | StartupUtility : Loaded at startup/logon.
06/10/16 13:02:17:578 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
06/10/16 13:02:17:578 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | StartupUtility : WARNING - Updater is NOT enabled.
06/10/16 13:02:17:578 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | Updater has never been run on the machine.
06/10/16 13:02:17:578 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | StartupUtility : Window is NOT Elapsed.
06/10/16 13:02:17:578 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : inside initialize.
06/10/16 13:02:18:095 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
06/10/16 13:02:18:139 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
06/10/16 13:02:19:198 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
06/10/16 13:02:19:198 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
06/10/16 13:02:19:258 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
06/10/16 13:02:19:258 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : inside finalize.
06/10/16 13:02:19:258 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 4661 | AdobeUpdaterGoCartLauncher : unloaded goCart library
08/22/16 14:26:10:938 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | >>> Adobe Updater Log Begin >>>
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | Application Version: 9.0.0.27
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamul.log
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | cmdline option: -logLevel = 2
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | StartupUtility : Loaded at startup/logon.
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | StartupUtility : WARNING - Updater is NOT enabled.
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | Updater has never been run on the machine.
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | StartupUtility : Window is NOT Elapsed.
08/22/16 14:26:10:939 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : inside initialize.
08/22/16 14:26:10:953 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
08/22/16 14:26:11:023 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
08/22/16 14:26:12:066 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
08/22/16 14:26:12:066 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
08/22/16 14:26:12:114 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
08/22/16 14:26:12:114 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : inside finalize.
08/22/16 14:26:12:114 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 6455 | AdobeUpdaterGoCartLauncher : unloaded goCart library
08/22/16 14:55:08:152 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | >>> Adobe Updater Log Begin >>>
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | Application Version: 9.0.0.27
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | cmdline option: -logFile = /Users/elon/Library/Application Support/Adobe/AAMUpdater/1.0/aamul.log
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | cmdline option: -logLevel = 2
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | StartupUtility : Loaded at startup/logon.
08/22/16 14:55:08:153 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2274 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
